      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    1
S001G_G     .UVDATA.   1  Disk= 1    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 22-OCT-2021 14:37:36
Last written by Obit  on 22-OCT-2021 15:20:08
Ncol 26  Nrow 153    Sort cols:  1 (ASCEND)  4 (ASCEND)
    Table has     8 keyword-value pairs:
   NO_ANT   =            5
   NO_POL   =            2
   NO_IF    =            8
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table format incompatable with FITS ASCII tables
 
      18                                                                      -5.993E-13          2
      18                                                                      -5.979E-13          2
      18                                                                      -5.964E-13          2
      18                                                                      -5.950E-13          2
      19      6.440240D-01            6             2          0.000E+00       0.000E+00          2
      19                                                                       0.000E+00          2
      19                                                                       0.000E+00          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    4
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      19                                                                       0.000E+00          2
      19                                                                       0.000E+00          2
      19                                                                       0.000E+00          2
      19                                                                       0.000E+00          2
      19                                                                       0.000E+00          2
      20      6.440240D-01            6             3         -1.497E-09       1.008E-13          2
      20                                                                       1.005E-13          2
      20                                                                       1.003E-13          2
      20                                                                       1.000E-13          2
      20                                                                       9.979E-14          2
      20                                                                       9.955E-14          2
      20                                                                       9.931E-14          2
      20                                                                       9.907E-14          2
      21      6.440240D-01            6             4         -1.554E-10      -2.373E-13          2
      21                                                                      -2.367E-13          2
      21                                                                      -2.362E-13          2
      21                                                                      -2.356E-13          2
      21                                                                      -2.350E-13          2
      21                                                                      -2.345E-13          2
      21                                                                      -2.339E-13          2
      21                                                                      -2.333E-13          2
      22      6.440240D-01            6             5          4.336E-10      -1.741E-13          2
      22                                                                      -1.737E-13          2
      22                                                                      -1.733E-13          2
      22                                                                      -1.729E-13          2
      22                                                                      -1.725E-13          2
      22                                                                      -1.720E-13          2
      22                                                                      -1.716E-13          2
      22                                                                      -1.712E-13          2
      23      6.455633D-01            7             2          0.000E+00       0.000E+00          2
      23                                                                       0.000E+00          2
      23                                                                       0.000E+00          2
      23                                                                       0.000E+00          2
      23                                                                       0.000E+00          2
      23                                                                       0.000E+00          2
      23                                                                       0.000E+00          2
      23                                                                       0.000E+00          2
      24      6.455633D-01            7             3         -2.523E-09      -2.477E-13          2
      24                                                                      -2.471E-13          2
      24                                                                      -2.465E-13          2
      24                                                                      -2.459E-13          2
      24                                                                      -2.453E-13          2
      24                                                                      -2.448E-13          2
      24                                                                      -2.442E-13          2
      24                                                                      -2.436E-13          2
      25      6.455633D-01            7             4         -1.106E-09      -1.727E-13          2
      25                                                                      -1.723E-13          2
      25                                                                      -1.719E-13          2
      25                                                                      -1.715E-13          2
      25                                                                      -1.711E-13          2
      25                                                                      -1.706E-13          2
      25                                                                      -1.702E-13          2
      25                                                                      -1.698E-13          2
      26      6.469759D-01            8             2          0.000E+00       0.000E+00          2
      26                                                                       0.000E+00          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    5
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      26                                                                       0.000E+00          2
      26                                                                       0.000E+00          2
      26                                                                       0.000E+00          2
      26                                                                       0.000E+00          2
      26                                                                       0.000E+00          2
      26                                                                       0.000E+00          2
      27      6.469759D-01            8             4         -7.099E-10      -5.429E-13          2
      27                                                                      -5.416E-13          2
      27                                                                      -5.403E-13          2
      27                                                                      -5.390E-13          2
      27                                                                      -5.377E-13          2
      27                                                                      -5.364E-13          2
      27                                                                      -5.351E-13          2
      27                                                                      -5.338E-13          2
      28      6.486999D-01            9             2          0.000E+00       0.000E+00          2
      28                                                                       0.000E+00          2
      28                                                                       0.000E+00          2
      28                                                                       0.000E+00          2
      28                                                                       0.000E+00          2
      28                                                                       0.000E+00          2
      28                                                                       0.000E+00          2
      28                                                                       0.000E+00          2
      29      6.486999D-01            9             3         -4.753E-10      -6.157E-14          2
      29                                                                      -6.142E-14          2
      29                                                                      -6.127E-14          2
      29                                                                      -6.112E-14          2
      29                                                                      -6.098E-14          2
      29                                                                      -6.083E-14          2
      29                                                                      -6.068E-14          2
      29                                                                      -6.054E-14          2
      30      6.486999D-01            9             4               INDE            INDE          2
      30                                                                            INDE          2
      30                                                                            INDE          2
      30                                                                            INDE          2
      30                                                                            INDE          2
      30                                                                            INDE          2
      30                                                                            INDE          2
      30                                                                            INDE          2
      31      6.486999D-01            9             5          1.331E-09       1.513E-14          2
      31                                                                       1.509E-14          2
      31                                                                       1.505E-14          2
      31                                                                       1.502E-14          2
      31                                                                       1.498E-14          2
      31                                                                       1.494E-14          2
      31                                                                       1.491E-14          2
      31                                                                       1.487E-14          2
      32      6.516744D-01           10             2          0.000E+00       0.000E+00          2
      32                                                                       0.000E+00          2
      32                                                                       0.000E+00          2
      32                                                                       0.000E+00          2
      32                                                                       0.000E+00          2
      32                                                                       0.000E+00          2
      32                                                                       0.000E+00          2
      32                                                                       0.000E+00          2
      33      6.516744D-01           10             3         -1.481E-09      -1.962E-13          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    6
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      33                                                                      -1.957E-13          2
      33                                                                      -1.952E-13          2
      33                                                                      -1.947E-13          2
      33                                                                      -1.943E-13          2
      33                                                                      -1.938E-13          2
      33                                                                      -1.933E-13          2
      33                                                                      -1.929E-13          2
      34      6.516744D-01           10             4         -4.576E-09      -9.058E-13          2
      34                                                                      -9.036E-13          2
      34                                                                      -9.014E-13          2
      34                                                                      -8.992E-13          2
      34                                                                      -8.970E-13          2
      34                                                                      -8.949E-13          2
      34                                                                      -8.927E-13          2
      34                                                                      -8.906E-13          2
      35      6.516744D-01           10             5          9.450E-10      -5.934E-14          2
      35                                                                      -5.920E-14          2
      35                                                                      -5.905E-14          2
      35                                                                      -5.891E-14          2
      35                                                                      -5.877E-14          2
      35                                                                      -5.863E-14          2
      35                                                                      -5.849E-14          2
      35                                                                      -5.835E-14          2
      36      6.530633D-01           11             2          0.000E+00       0.000E+00          2
      36                                                                       0.000E+00          2
      36                                                                       0.000E+00          2
      36                                                                       0.000E+00          2
      36                                                                       0.000E+00          2
      36                                                                       0.000E+00          2
      36                                                                       0.000E+00          2
      36                                                                       0.000E+00          2
      37      6.530633D-01           11             3         -1.789E-09       1.950E-13          2
      37                                                                       1.945E-13          2
      37                                                                       1.940E-13          2
      37                                                                       1.935E-13          2
      37                                                                       1.931E-13          2
      37                                                                       1.926E-13          2
      37                                                                       1.922E-13          2
      37                                                                       1.917E-13          2
      38      6.530633D-01           11             5         -3.759E-14       2.990E-13          2
      38                                                                       2.982E-13          2
      38                                                                       2.975E-13          2
      38                                                                       2.968E-13          2
      38                                                                       2.961E-13          2
      38                                                                       2.954E-13          2
      38                                                                       2.947E-13          2
      38                                                                       2.940E-13          2
      39      7.537462D-01           12             2          0.000E+00       0.000E+00          2
      39                                                                       0.000E+00          2
      39                                                                       0.000E+00          2
      39                                                                       0.000E+00          2
      39                                                                       0.000E+00          2
      39                                                                       0.000E+00          2
      39                                                                       0.000E+00          2
      39                                                                       0.000E+00          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    7
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      40      7.537462D-01           12             3         -1.121E-09       7.833E-14          2
      40                                                                       7.814E-14          2
      40                                                                       7.795E-14          2
      40                                                                       7.776E-14          2
      40                                                                       7.757E-14          2
      40                                                                       7.739E-14          2
      40                                                                       7.720E-14          2
      40                                                                       7.702E-14          2
      41      7.537462D-01           12             5          4.458E-10      -5.284E-14          2
      41                                                                      -5.271E-14          2
      41                                                                      -5.258E-14          2
      41                                                                      -5.245E-14          2
      41                                                                      -5.233E-14          2
      41                                                                      -5.220E-14          2
      41                                                                      -5.208E-14          2
      41                                                                      -5.195E-14          2
      42      7.552045D-01           13             2          0.000E+00       0.000E+00          2
      42                                                                       0.000E+00          2
      42                                                                       0.000E+00          2
      42                                                                       0.000E+00          2
      42                                                                       0.000E+00          2
      42                                                                       0.000E+00          2
      42                                                                       0.000E+00          2
      42                                                                       0.000E+00          2
      43      7.552045D-01           13             3         -1.158E-09      -1.431E-13          2
      43                                                                      -1.427E-13          2
      43                                                                      -1.424E-13          2
      43                                                                      -1.420E-13          2
      43                                                                      -1.417E-13          2
      43                                                                      -1.413E-13          2
      43                                                                      -1.410E-13          2
      43                                                                      -1.407E-13          2
      44      7.552045D-01           13             5         -2.637E-10       5.589E-14          2
      44                                                                       5.576E-14          2
      44                                                                       5.562E-14          2
      44                                                                       5.549E-14          2
      44                                                                       5.536E-14          2
      44                                                                       5.522E-14          2
      44                                                                       5.509E-14          2
      44                                                                       5.496E-14          2
      45      7.573805D-01           14             2          0.000E+00       0.000E+00          2
      45                                                                       0.000E+00          2
      45                                                                       0.000E+00          2
      45                                                                       0.000E+00          2
      45                                                                       0.000E+00          2
      45                                                                       0.000E+00          2
      45                                                                       0.000E+00          2
      45                                                                       0.000E+00          2
      46      7.573805D-01           14             3         -1.007E-09       1.753E-14          2
      46                                                                       1.748E-14          2
      46                                                                       1.744E-14          2
      46                                                                       1.740E-14          2
      46                                                                       1.736E-14          2
      46                                                                       1.732E-14          2
      46                                                                       1.727E-14          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    8
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      46                                                                       1.723E-14          2
      47      7.573805D-01           14             4         -4.549E-10      -2.967E-13          2
      47                                                                      -2.959E-13          2
      47                                                                      -2.952E-13          2
