! Data for figure 8 {doi}
! Column  1   is spot LoS velocity in km/s
! Columns 2-3 is spot position in mas
! Columns 4-5 is spot velocity in X and Y resp in mas/yr
! Column 6 is spot flux density in Jy
!
!     VEL         X         Y        Vx        Vy       I
!--------------------------------------------------------
  -50.527   -25.226    -2.570    -0.010    -0.232   64.88
  -50.527   -25.226    -2.570    -0.010    -0.233   65.11
  -50.614     0.226    -0.005    -0.003    -0.007  294.83
  -50.614    -8.448    36.466    -0.062    -0.161  129.28
  -50.614   -25.301    -2.273     0.023    -0.291   41.50
  -50.702     0.481     0.118    -0.012    -0.074  194.16
  -50.702    -5.818    36.489    -0.007    -0.216   56.36
  -50.702    -8.556    36.562    -0.062    -0.146   75.40
  -50.702   265.415   200.538     0.595    -0.264   42.68
  -50.790     0.654     0.209    -0.030    -0.174  119.68
  -50.790    -3.593    -4.922    -0.040    -0.201   40.08
  -50.790    -5.802    36.460     0.011    -0.247   32.56
  -50.790    -8.749    36.487    -0.040     0.112   15.20
  -50.790   265.172   200.307     0.472    -0.302   59.80
  -50.878     0.775     0.261    -0.023    -0.256   69.31
  -50.878    -3.556    -4.882    -0.065    -0.206   38.73
  -50.878    -5.819    36.259     0.029    -0.346    8.30
  -50.878   265.096   200.194     0.453    -0.304   43.18
  -50.966     0.644     0.336     0.159    -0.421   23.46
  -50.966     0.998     0.178    -0.452    -0.191   20.93
  -50.966     5.830    -3.929     0.075    -0.203   40.33
  -50.966    -3.640    -4.961    -0.027    -0.175   22.66
  -50.966   261.738   194.526     0.682    -0.288   22.56
  -51.054     5.856    -3.853     0.053    -0.180   70.73
  -51.054   261.741   194.440     0.496    -0.353   24.33
  -51.054   277.400   245.649     0.747    -0.152    8.92
  -51.141     5.884    -3.758     0.069    -0.150   79.60
  -51.141   261.517   194.274     0.854     0.037   20.86
  -51.141   277.439   245.542     0.722    -0.204   11.39
  -51.141   277.439   245.544     0.722    -0.204   11.43
  -51.229     5.572    -3.957     0.245     0.160   33.74
  -51.229     5.764    -3.595    -0.105    -0.302   42.78
  -51.229     7.310    -5.409     0.042     0.096   30.46
  -51.229   261.415   194.361     0.791    -0.235   13.48
  -51.229   277.623   245.389     0.499    -0.168    8.06
  -51.317     5.067    -3.825    -0.007    -0.241   12.30
  -51.317     7.411    -5.342     0.031    -0.084   51.00
  -51.317   277.403   245.259     0.386    -0.354    4.45
  -51.317   278.433   242.793     0.808    -0.166    4.18
  -51.405     7.547    -5.486     0.008    -0.065   30.56
  -51.405    10.980    -7.660     0.020    -0.158    8.46
  -51.405   178.906   123.493     0.278    -0.209    5.62
  -51.405   277.452   245.153     0.818    -0.158    3.19
  -51.405   278.336   242.706     0.888    -0.062    3.79
  -51.405 - 164.915   139.034    -0.354    -0.433    5.57
  -51.493     7.543    -5.559     0.038     0.120    5.10
  -51.493     7.761    -5.593     0.050     0.091    4.62
  -51.493    11.048    -7.862     0.024     0.118    8.20
  -51.493   178.790   123.451     0.313    -0.244    5.04
  -51.493 - 164.933   138.774    -0.300    -0.314    8.50
  -51.580    11.225    -7.832     0.029     0.158    3.93
  -51.580    19.237    -6.765    -0.038    -0.204    3.79
  -51.580 - 164.840   138.536    -0.205    -0.313   11.37
  -51.668     3.498    13.544     0.066    -0.267    6.15
  -51.668 - 164.767   138.291    -0.176    -0.331   12.98
  -51.756     3.568    13.257     0.069    -0.289    7.37
  -51.756 - 164.703   138.053    -0.249    -0.302   12.97
  -51.844     3.619    12.919     0.080    -0.308    5.46
  -51.844    12.138     6.519     0.119    -0.303    1.65
  -51.844 - 164.729   137.825    -0.345    -0.260   12.05
  -51.932     3.749    12.568     0.042    -0.445    2.77
  -51.932 - 164.752   137.635    -0.375    -0.346   10.55
  -52.020   174.911    28.068     0.063    -0.176    3.38
  -52.020 - 164.710   137.435    -0.415    -0.311    8.53
  -52.107   174.893    28.008     0.347     0.131   11.13
  -52.107   175.111    28.207     0.218    -0.007   13.63
  -52.107   191.581    53.568     0.382     0.140    2.70
  -52.107 - 164.603   137.321    -0.004    -0.636    4.23
  -52.195   174.963    28.080     0.311     0.112   19.45
  -52.195   174.992    28.120     0.298     0.065   20.28
  -52.195   191.781    53.738     0.286     0.119    7.83
  -52.283   174.916    28.104     0.408     0.186   14.30
  -52.283   174.921    28.106     0.406     0.186   14.45
  -52.283   192.029    53.911     0.325     0.141   15.88
  -52.371   174.916    28.280     0.367    -0.026    4.50
  -52.371   174.916    28.282     0.367    -0.024    4.57
  -52.371   192.221    54.054     0.361     0.173   22.26
  -52.459   192.330    54.117     0.375     0.127   22.76
  -52.459 - 191.918   148.898    -0.463    -0.221    4.17
  -52.546   192.378    54.117     0.375     0.121   17.16
  -52.546 - 191.882   148.904    -0.449    -0.178    7.30
  -52.634   192.382    54.063     0.453     0.168    8.63
  -52.634 - 191.838   148.942    -0.449    -0.157    6.98
  -52.722   192.363    53.936     0.434     0.279    2.65
  -52.722 - 191.776   149.095    -0.409    -0.142    4.28
  -52.898   106.142    69.954     0.021    -0.346    3.00
  -53.249   106.477    70.934     0.024    -0.278    5.54
  -53.249   167.125   113.926     0.199    -0.420    1.92
  -53.249   174.779   115.621     0.038    -0.404    1.42
  -53.249   177.159   116.890     0.067    -0.515    2.24
  -53.337   105.762    71.023     0.241    -0.320    1.49
  -53.337   107.959    71.975    -0.074    -0.413    1.39
  -53.337   167.067   113.981     0.192    -0.487    3.45
  -53.337   174.778   115.632     0.018    -0.550    1.82
  -53.337   177.060   116.931     0.088    -0.457    3.37
  -53.425   167.090   114.022     0.162    -0.526    3.53
  -53.425   174.770   115.682    -0.033    -0.591    1.47
  -53.425   176.873   116.968     0.027    -0.483    3.02
  -53.512   167.074   114.029     0.029    -0.594    2.03
  -53.512   176.614   116.922     0.336    -0.448    1.75    
